sdp_version,sdp_route_id,gtfs_route_id
2021,CR-Newburyport,CR-Newburyport
2017,CR-Providence,CR-Providence
2021,CR-Providence,CR-Providence
2017,CR-Worcester,CR-Worcester
2021,CR-Worcester,CR-Worcester
2017,CT1,701
2021,CT1,701
2017,CT2,747
2021,CT2,747
2017,CT3,708
2021,CT3,708
2017,Green-B,Green-B
2021,Green-B,Green-B
2017,Green-C,Green-C
2021,Green-C,Green-C
2017,Green-D,Green-D
2021,Green-D,Green-D
2017,Green-E,Green-E
2021,Green-E,Green-E
2017,Mattapan,Mattapan
2021,Mattapan,Mattapan
2017,Orange,Orange
2021,Orange,Orange
2017,Red,Red
2021,Red,Red
2017,SL1,741
2021,SL1,741
2017,SL2,742
2021,SL2,742
2017,SL3,743
2021,SL3,743
2017,SL4,751
2021,SL4,751
2017,SL5,749
2021,SL5,749
2017,SL1,SLW
2021,SL1,SLW
2017,SL2,SLW
2021,SL2,SLW
2017,SL3,SLW
2021,SL3,SLW
2017,SL1,746
2021,SL1,746
2017,SL2,746
2021,SL2,746
2017,SL3,746
2021,SL3,746
2017,40,4050
2021,40,4050
2017,50,4050
2021,50,4050
2017,37,3738
2021,37,3738
2017,38,3738
2021,38,3738
2021,61,61
2021,226,226
