"season","mode","route_or_line","daytype","direction","timeperiod_id","avg_weekday","precision","source"
"Fall 2018","Bus","9","Weekday",0,2,"351.5400000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,1,"93.0000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,6,"712.8000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,7,"61.4000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,3,"332.5000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,4,"480.6000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,8,"18.3300000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,5,"1214.6400000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",0,0,"9.0000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,2,"1501.9000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,1,"261.6000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,6,"181.9500000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,7,"44.0000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,3,"413.7000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,4,"343.3100000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,8,"11.2000000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,5,"409.5300000000","High","APC Composite Day"
"Fall 2018","Bus","9","Weekday",1,0,"89.6700000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,2,"335.3400000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,1,"134.9000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,6,"143.3600000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,7,"16.9000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,3,"310.2800000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,4,"254.2200000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,8,"7.9000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,5,"271.0800000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",0,0,"14.4000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,2,"261.4000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,1,"129.9000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,6,"120.1600000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,7,"11.0000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,3,"305.8300000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,4,"285.4000000000","High","APC Composite Day"
"Fall 2018","Bus","10","Weekday",1,8,"6.6000000000","High","APC Composite Day"
